ID	m/z	         RT
291	386.2055	3.25
292	136.06197	3.25
293	174.1114	3.26
294	247.11851	3.26
295	212.06579	3.26
296	258.09139	3.26
297	163.12194	3.27
298	329.08523	3.27
299	455.14006	3.27
300	178.06753	3.28
301	302.11719	3.28
302	205.07996	3.28
303	207.07532	3.28
304	306.08803	3.28
305	172.13201	3.29
306	114.09049	3.3
307	257.18482	3.3
308	275.19581	3.3
309	283.17418	3.3
310	300.20021	3.3
311	328.23184	3.3
312	353.20545	3.3
313	288.16957	3.3
314	304.14051	3.3
315	325.05324	3.31
316	400.09988	3.31
317	278.18495	3.31
318	282.09088	3.32
319	353.12146	3.32
320	415.15944	3.32
321	195.07538	3.32
322	300.10133	3.32
323	237.12172	3.33
324	289.16566	3.33
325	293.18588	3.33
326	237.08666	3.34
327	281.00536	3.34
328	206.08237	3.34
329	206.1393	3.34
330	246.15969	3.34
331	308.13977	3.35
332	215.11236	3.35
333	262.15388	3.35
334	386.2057	3.36
335	187.08558	3.36
336	196.13245	3.36
337	130.06417	3.37
338	159.06701	3.37
339	295.18057	3.37
340	297.1849	3.37
341	148.0939	3.37
342	150.1266	3.37
343	217.13159	3.37
344	327.20074	3.37
345	344.227	3.37
346	372.25733	3.37
347	191.0335	3.38
348	219.13891	3.38
349	350.09651	3.38
350	193.13305	3.39
351	364.11218	3.39
352	205.07892	3.39
353	278.18521	3.39
354	200.10514	3.4
355	403.20935	3.41
356	408.15362	3.41
357	585.28925	3.41
358	439.23126	3.41
359	226.22673	3.42
360	212.17454	3.43
361	320.13865	3.43
362	376.23855	3.43
363	165.07012	3.43
364	181.12249	3.43
365	108.04383	3.44
366	411.1897	3.44
367	137.06945	3.44
368	120.04365	3.45
369	171.10255	3.45
370	179.11793	3.45
371	205.13213	3.45
372	227.11768	3.45
373	341.19595	3.45
374	162.58866	3.45
375	302.0816	3.45
376	319.10764	3.45
377	371.2255	3.45
378	388.25225	3.45
379	271.00648	3.46
380	316.06497	3.46
381	318.06295	3.46
382	334.15541	3.46
383	273.00437	3.46
384	395.19511	3.46
385	244.96822	3.47
386	259.99824	3.47
387	297.19492	3.47
388	304.19051	3.47
389	306.19502	3.47
390	242.97131	3.47
391	261.99482	3.47
392	117.06915	3.48
393	148.11067	3.48
394	176.11698	3.48
395	263.11717	3.48
396	325.05325	3.48
397	327.05043	3.48
398	319.10675	3.48
399	295.17958	3.49
400	314.12528	3.49
401	266.12345	3.5
402	467.11307	3.5
403	180.06541	3.5
404	206.09247	3.51
405	217.1235	3.51
406	311.139	3.51
407	331.11524	3.51
408	291.12352	3.51
409	309.13455	3.51
410	106.0644	3.52
411	139.09744	3.52
412	148.07525	3.52
413	194.08113	3.52
414	411.18963	3.52
415	522.28024	3.52
416	575.29569	3.52
417	136.03815	3.53
418	141.06915	3.53
419	178.08538	3.53
420	267.16958	3.53
421	415.25173	3.53
422	116.08114	3.54
423	214.15507	3.54
424	432.27895	3.54
425	208.11234	3.54
426	252.08871	3.55
427	147.05439	3.56
428	171.10025	3.56
429	179.11711	3.57
430	201.12876	3.57
431	199.12319	3.58
432	304.18947	3.59
433	171.10165	3.59
434	227.11666	3.59
435	277.13361	3.6
436	174.12693	3.61
437	427.18521	3.61
438	364.16391	3.62
439	409.17348	3.62
440	214.15418	3.63
441	309.13297	3.63
442	194.08022	3.63
443	141.06968	3.65
444	172.11109	3.65
445	210.10212	3.65
446	476.30511	3.65
447	171.06621	3.67
448	300.14613	3.67
449	420.22251	3.67
450	239.0884	3.68
451	199.12234	3.69
452	364.16387	3.69
453	277.13254	3.71
454	325.18182	3.71
455	179.11695	3.71
456	240.01963	3.71
457	406.21113	3.71
458	238.02162	3.72
459	256.03176	3.72
460	258.02949	3.72
461	399.19123	3.72
462	224.11821	3.73
463	345.18002	3.73
464	229.09594	3.75
465	396.1517	3.75
466	217.10587	3.76
467	170.11604	3.76
468	239.08807	3.77
469	242.07383	3.77
470	273.00514	3.78
471	256.01476	3.79
472	258.01166	3.79
473	260.00864	3.79
474	279.16054	3.79
475	299.14969	3.79
476	309.05853	3.79
477	311.0568	3.79
478	520.33103	3.79
479	258.12292	3.8
480	359.19615	3.8
481	361.20068	3.8
482	199.12169	3.81
483	221.10801	3.81
484	258.21421	3.81
485	373.09386	3.81
486	375.09044	3.81
487	194.09204	3.81
488	100.11138	3.82
489	255.08877	3.82
490	295.20172	3.82
491	178.08529	3.83
492	257.08551	3.83
493	320.1048	3.83
494	611.15986	3.84
495	346.09482	3.84
496	348.09934	3.84
497	344.09677	3.85
498	271.00691	3.85
499	273.00499	3.86
500	134.0705	3.86
501	162.10153	3.86
502	206.09482	3.86
503	207.11835	3.86
504	217.10485	3.86
505	236.10189	3.86
506	178.06046	3.87
507	156.10092	3.9
508	174.11146	3.9
509	132.10095	3.9
510	298.04664	3.9
511	128.10616	3.91
512	296.04994	3.91
513	359.19529	3.91
514	482.296	3.91
515	237.15953	3.91
516	206.11665	3.92
517	473.31015	3.92
518	200.19946	3.93
519	346.09407	3.93
520	251.17545	3.93
521	373.09476	3.93
522	375.09182	3.93
523	402.96418	3.97
524	404.96238	3.97
525	406.9602	3.97
526	564.35666	3.98
527	138.9933	3.98
528	196.01482	3.98
529	246.18401	3.98
530	344.09559	3.98
531	264.19593	3.99
532	266.20063	3.99
533	206.1158	4
534	288.15836	4.01
535	199.11	4.02
536	421.1974	4.02
537	208.16929	4.03
538	234.1491	4.04
539	236.15398	4.04
540	140.06998	4.05
541	168.10113	4.05
542	250.17969	4.05
543	246.17167	4.08
544	120.05472	4.09
545	208.16883	4.09
546	329.13098	4.09
547	262.11289	4.1
548	264.19485	4.1
549	128.04471	4.1
550	250.17877	4.1
551	176.14297	4.12
552	220.0483	4.12
553	222.04506	4.12
554	224.19056	4.12
555	222.18592	4.13
556	234.14782	4.14
557	256.92949	4.14
558	258.92661	4.14
559	220.95237	4.15
560	260.92327	4.15
561	136.07476	4.16
562	222.94884	4.16
563	271.14296	4.16
564	608.38324	4.17
565	185.08152	4.18
566	224.11752	4.18
567	260.02926	4.18
568	343.14673	4.18
569	246.17027	4.19
570	248.01566	4.2
571	239.08862	4.21
572	220.04756	4.21
573	246.01889	4.21
574	327.20604	4.21
575	298.15462	4.22
576	285.15983	4.23
577	287.16506	4.23
578	222.18469	4.24
579	157.06787	4.26
580	255.11181	4.26
581	264.0418	4.26
582	311.13092	4.26
583	415.16704	4.26
584	259.13432	4.26
585	282.10328	4.26
586	156.06944	4.27
587	262.04387	4.27
588	260.02894	4.27
589	313.12791	4.27
590	298.15365	4.28
591	182.18921	4.29
592	234.14687	4.3
593	239.09062	4.31
594	239.11506	4.31
595	256.08922	4.31
596	156.06893	4.33
597	307.17906	4.33
598	285.15872	4.36
599	329.10551	4.37
600	200.0533	4.37
601	347.117	4.37
602	130.15859	4.38
603	180.04686	4.38
604	151.09823	4.39
605	198.05829	4.39
606	399.1728	4.39
607	262.04402	4.4
608	358.19979	4.42
609	235.12245	4.42
610	256.0898	4.42
611	210.11191	4.43
612	238.13336	4.44
613	194.09608	4.45
614	239.11614	4.45
615	340.23854	4.45
616	137.13158	4.45
617	342.24372	4.45
618	390.15546	4.47
619	244.07302	4.48
620	246.07024	4.49
621	296.09738	4.49
622	359.14168	4.49
623	386.96818	4.49
624	390.96463	4.49
625	388.96673	4.49
626	206.10297	4.51
627	343.20071	4.51
628	470.14271	4.52
629	152.14248	4.52
630	197.59996	4.53
631	394.19229	4.53
632	188.59438	4.54
633	396.19633	4.54
634	121.06424	4.54
635	273.1707	4.54
636	341.2399	4.54
637	242.12743	4.55
638	279.14754	4.55
639	356.11665	4.55
640	340.23722	4.57
641	405.17009	4.57
642	279.21962	4.6
643	557.43059	4.6
644	173.08052	4.61
645	196.09626	4.62
646	217.10749	4.62
647	239.0905	4.62
648	155.06964	4.63
649	399.17302	4.64
650	408.12512	4.64
651	249.13805	4.65
652	258.08862	4.66
653	394.1906	4.68
654	557.42923	4.69
655	262.05607	4.7
656	279.21877	4.71
657	239.08895	4.72
658	260.05889	4.72
659	260.08392	4.72
660	295.20077	4.72
661	159.04069	4.72
662	408.12336	4.72
663	187.07164	4.73
664	217.11378	4.73
665	204.09872	4.74
666	360.23817	4.74
667	415.16683	4.76
668	346.12145	4.78
669	266.05722	4.78
670	198.05835	4.79
671	153.06893	4.79
672	264.06038	4.79
673	212.14367	4.8
674	230.15404	4.8
675	170.09588	4.8
676	313.15312	4.8
677	182.08036	4.82
678	225.13834	4.83
679	409.16703	4.83
680	264.06013	4.84
681	411.2189	4.88
682	413.22371	4.88
683	206.11419	4.89
684	328.11181	4.89
685	230.15247	4.89
686	355.20114	4.9
687	242.1282	4.9
688	212.14236	4.91
689	287.18656	4.91
690	609.18036	4.91
691	149.04294	4.92
692	264.07618	4.92
693	331.1216	4.93
694	185.06203	4.96
695	294.19114	4.97
696	287.18524	4.99
697	554.28017	5
698	396.27239	5.01
699	490.24556	5.01
700	353.18457	5.02
701	163.14769	5.02
702	426.31009	5.02
703	180.17488	5.03
704	215.04778	5.03
705	411.21716	5.03
706	363.06298	5.03
707	246.18549	5.05
708	156.00998	5.05
709	269.12551	5.05
710	292.201	5.05
711	126.05424	5.06
712	247.14801	5.07
713	333.06146	5.1
714	239.144	5.11
715	311.08097	5.11
716	237.13895	5.12
717	309.04176	5.12
718	270.10596	5.13
719	231.00016	5.13
720	231.04034	5.13
721	180.17372	5.14
722	247.14318	5.16
723	235.03796	5.18
724	243.08671	5.18
725	232.99651	5.19
726	233.03919	5.19
727	246.18437	5.19
728	311.08012	5.19
729	381.24252	5.2
730	379.2378	5.2
731	388.23245	5.23
732	237.13803	5.24
733	107.04813	5.26
734	270.10547	5.29
735	339.99569	5.29
736	358.00603	5.29
737	375.03295	5.29
738	341.99258	5.3
739	377.02988	5.3
740	380.23982	5.3
741	272.09209	5.31
742	379.23652	5.35
743	295.02184	5.36
744	338.13763	5.37
745	236.10632	5.37
746	340.07818	5.38
747	217.11185	5.39
748	332.13509	5.39
749	177.05448	5.39
750	342.17926	5.39
751	252.13736	5.44
752	283.17977	5.44
753	333.13749	5.44
754	239.08867	5.45
755	188.06687	5.48
756	220.02813	5.48
757	222.02502	5.48
758	121.02953	5.49
759	121.06262	5.49
760	131.04827	5.49
761	166.08588	5.49
762	149.05853	5.51
763	355.12142	5.52
764	367.20019	5.52
765	285.00987	5.53
766	177.05382	5.54
767	326.23286	5.54
768	328.23795	5.54
769	588.25351	5.54
770	261.03256	5.55
771	265.026	5.55
772	283.01319	5.55
773	308.08621	5.55
774	330.12665	5.55
775	306.08934	5.55
776	423.15491	5.55
777	441.16572	5.55
778	523.05162	5.55
779	586.25555	5.55
780	154.06119	5.56
781	263.02945	5.56
782	213.07493	5.58
783	149.05789	5.6
784	166.08526	5.61
785	167.06961	5.64
786	178.08506	5.65
787	303.10146	5.65
788	421.19622	5.65
789	305.09795	5.66
790	196.09575	5.67
791	263.0284	5.68
792	297.19653	5.68
793	326.23158	5.68
794	252.13803	5.69
795	261.03125	5.69
796	299.20104	5.69
797	205.09476	5.7
798	386.25489	5.79
799	388.25888	5.79
800	242.10755	5.8
801	357.21591	5.8
802	246.10909	5.84
803	226.13273	5.85
804	224.12865	5.85
805	269.18548	5.85
806	447.24676	5.85
807	151.03855	5.86
808	297.19546	5.86
809	149.02171	5.88
810	186.22063	5.89
811	454.12307	5.9
812	239.08894	5.94
813	357.216	5.95
814	426.16811	5.95
815	428.16536	5.95
816	810.40573	5.95
817	346.14996	5.96
818	386.25385	5.96
819	284.12165	5.98
820	587.28617	5.98
821	224.12777	5.98
822	294.14747	5.99
823	234.04462	6.03
824	238.03818	6.03
825	236.04157	6.03
826	154.12177	6.05
827	136.03836	6.07
828	281.18638	6.07
829	283.19103	6.07
830	192.10203	6.07
831	236.12715	6.08
832	542.24685	6.1
833	284.1207	6.11
834	262.07069	6.12
835	244.05952	6.13
836	341.17261	6.13
837	343.18948	6.14
838	234.04377	6.15
839	147.04346	6.18
840	282.18788	6.18
841	239.08845	6.18
842	192.10103	6.19
843	217.11572	6.2
844	262.07016	6.2
845	300.11522	6.21
846	291.20617	6.22
847	281.18519	6.22
848	262.06977	6.25
849	356.21151	6.29
850	397.21227	6.32
851	399.2162	6.32
852	163.09882	6.33
853	185.09436	6.33
854	199.11014	6.33
855	189.07734	6.33
856	325.18947	6.34
857	242.15298	6.35
858	164.10581	6.36
859	256.16999	6.36
860	258.1749	6.36
861	356.21132	6.41
862	354.20634	6.42
863	199.10933	6.44
864	398.21372	6.44
865	320.08549	6.45
866	257.17196	6.45
867	286.17955	6.46
868	256.16967	6.47
869	397.21097	6.48
870	190.08539	6.49
871	409.17405	6.54
872	141.00894	6.58
873	326.08983	6.59
874	258.06661	6.59
875	304.10939	6.59
876	306.11327	6.59
877	446.32494	6.59
878	162.0539	6.61
879	234.00829	6.61
880	236.00518	6.61
881	238.0019	6.61
882	276.07728	6.61
883	413.17992	6.66
884	217.11025	6.68
885	305.11024	6.71
886	258.0004	6.72
887	217.11022	6.73
888	256.00303	6.73
889	383.17798	6.73
890	234.0073	6.74
891	304.1079	6.75
892	459.25338	6.78
893	250.18081	6.78
894	252.18517	6.8
895	164.06934	6.88
896	296.20138	6.88
897	250.18013	6.88
898	206.08098	6.89
899	298.20624	6.89
900	462.11106	6.89
901	260.0883	6.9
902	238.10691	6.9
903	352.15291	6.92
904	239.09316	6.94
905	135.07926	6.95
906	389.22687	6.95
907	359.12336	6.96
908	459.25375	6.96
909	238.10669	6.96
910	239.09018	6.97
911	250.17987	6.98
912	302.05831	7.01
913	336.123	7.03
914	296.20043	7.03
915	338.12858	7.04
916	273.03967	7.05
917	373.13979	7.05
918	318.20656	7.05
919	320.21132	7.05
920	325.18481	7.1
921	337.1258	7.1
922	324.1953	7.11
923	339.12504	7.13
924	326.21068	7.16
925	373.13876	7.16
926	200.11762	7.16
927	318.2055	7.16
928	337.12511	7.17
929	319.20807	7.18
930	341.1218	7.18
931	399.22684	7.18
