ID	 m/z	        RT
1063	295.20162	3.82
1083	377.21226	16.51
1107	377.21226	16.51
1145	224.12812	5.86
1353	224.12812	10.62
1232	167.07027	5.63
1270	167.07027	25.68
1331	295.18049	3.36
1332	295.18049	3.36
1343	166.08626	5.49
1394	166.08626	5.49
1352	174.11247	3.9
1403	174.11247	3.9
997	288.17468	11.97
1130	288.17468	13.21
1278	137.07094	3.45
1000	137.07094	3.45
1011	185.15361	28.11
1113	185.15361	28.11
1144	154.04987	11.64
1427	154.04987	11.64
1165	101.00316	0.58
1182	428.16439	5.95
1267	242.1526	6.37
1361	325.11763	15.98
1410	430.30567	31.06
1260	249.05809	0.55
1023	330.20397	13.09
1038	221.17367	32.72
1162	385.15947	7.7
1243	892.54168	33.52
1247	407.16764	25.09
1263	432.16529	13.24
1345	153.10224	3.22
1354	386.08704	15.41
1173	300.28971	31.88
1226	167.08488	0.58
1262	367.12108	0.55
990	367.12108	0.55
		
